#FRAME_ID, X, Y, Z
407.000 3.436 -0.055 -0.661
409.000 3.478 -0.059 -0.673
411.000 3.516 -0.056 -0.688
412.000 3.541 -0.060 -0.693
413.000 3.564 -0.058 -0.703
414.000 3.587 -0.058 -0.712
415.000 3.613 -0.060 -0.712
416.000 3.632 -0.061 -0.718
479.000 5.020 -0.045 -1.184
417.000 3.646 -0.059 -0.722
439.000 4.141 -0.056 -0.886
418.000 3.669 -0.059 -0.734
422.000 3.767 -0.064 -0.768
423.000 3.789 -0.057 -0.773
424.000 3.803 -0.058 -0.781
428.000 3.903 -0.059 -0.806
432.000 3.985 -0.060 -0.836
487.000 5.189 -0.040 -1.234
433.000 4.011 -0.057 -0.842
434.000 4.035 -0.059 -0.851
435.000 4.060 -0.055 -0.861
436.000 4.084 -0.061 -0.864
437.000 4.103 -0.059 -0.871
440.000 4.165 -0.054 -0.895
441.000 4.191 -0.059 -0.902
483.000 5.105 -0.039 -1.215
442.000 4.214 -0.057 -0.914
444.000 4.260 -0.053 -0.922
445.000 4.272 -0.060 -0.933
448.000 4.346 -0.054 -0.952
449.000 4.371 -0.057 -0.961
450.000 4.396 -0.049 -0.966
488.000 5.213 -0.037 -1.245
451.000 4.414 -0.057 -0.974
452.000 4.428 -0.057 -0.983
494.000 5.342 -0.031 -1.291
453.000 4.455 -0.055 -0.983
454.000 4.476 -0.054 -0.994
498.000 5.433 -0.039 -1.319
455.000 4.502 -0.056 -0.996
456.000 4.526 -0.049 -1.007
458.000 4.567 -0.047 -1.027
460.000 4.606 -0.052 -1.033
461.000 4.630 -0.047 -1.048
462.000 4.656 -0.055 -1.048
463.000 4.678 -0.051 -1.062
464.000 4.702 -0.052 -1.073
466.000 4.733 -0.055 -1.081
467.000 4.757 -0.045 -1.091
468.000 4.782 -0.046 -1.093
481.000 5.059 -0.045 -1.195
468.000 4.782 -0.048 -1.094
497.000 5.411 -0.037 -1.313
469.000 4.804 -0.044 -1.106
